file,row,predicted_alarm,predicted_alarm_label
FOC_20190801_06,466,0,Normal
FOC_20190801_06,467,0,Normal
FOC_20190801_06,468,0,Normal
FOC_20190801_06,469,0,Normal
FOC_20190801_06,470,0,Normal
FOC_20190801_06,471,0,Normal
FOC_20190801_06,472,0,Normal
FOC_20190801_06,473,0,Normal
FOC_20190801_06,474,0,Normal
FOC_20190801_06,475,0,Normal
FOC_20190801_06,476,0,Normal
FOC_20190801_06,477,0,Normal
FOC_20190801_06,478,0,Normal
FOC_20190801_06,479,0,Normal
FOC_20190801_06,480,0,Normal
FOC_20190801_06,481,0,Normal
FOC_20190801_06,482,0,Normal
FOC_20190801_06,483,0,Normal
FOC_20190801_06,484,0,Normal
FOC_20190801_06,485,0,Normal
FOC_20190801_06,486,0,Normal
FOC_20190801_06,487,0,Normal
FOC_20190801_06,488,0,Normal
FOC_20190801_06,489,0,Normal
FOC_20190801_06,490,0,Normal
FOC_20190801_06,491,0,Normal
FOC_20190801_06,492,0,Normal
FOC_20190801_06,493,0,Normal
FOC_20190801_06,494,0,Normal
FOC_20190801_06,495,0,Normal
FOC_20190801_06,496,0,Normal
FOC_20190801_06,497,0,Normal
FOC_20190801_06,498,0,Normal
FOC_20190801_06,499,0,Normal
FOC_20190801_06,500,0,Normal
FOC_20190801_06,501,0,Normal
FOC_20190801_06,502,0,Normal
FOC_20190801_06,503,0,Normal
FOC_20190801_06,504,0,Normal
FOC_20190801_06,505,0,Normal
FOC_20190801_06,506,0,Normal
FOC_20190801_06,507,0,Normal
FOC_20190801_06,508,0,Normal
FOC_20190801_06,509,0,Normal
FOC_20190801_06,510,0,Normal
FOC_20190801_06,511,0,Normal
FOC_20190801_06,512,0,Normal
FOC_20190801_06,513,0,Normal
FOC_20190801_06,514,0,Normal
FOC_20190801_06,515,0,Normal
FOC_20190801_06,516,0,Normal
FOC_20190801_06,517,0,Normal
FOC_20190801_06,518,0,Normal
FOC_20190801_06,519,0,Normal
FOC_20190801_06,520,0,Normal
FOC_20190801_06,521,0,Normal
FOC_20190801_06,522,0,Normal
FOC_20190801_06,523,0,Normal
FOC_20190801_06,524,0,Normal
FOC_20190801_06,525,0,Normal
FOC_20190801_06,526,0,Normal
FOC_20190801_06,527,0,Normal
FOC_20190801_06,528,0,Normal
FOC_20190801_06,529,0,Normal
FOC_20190801_06,530,0,Normal
FOC_20190801_06,531,0,Normal
FOC_20190801_06,532,0,Normal
FOC_20190801_06,533,0,Normal
FOC_20190801_06,534,0,Normal
FOC_20190801_06,535,0,Normal
FOC_20190801_06,536,0,Normal
FOC_20190801_06,537,0,Normal
FOC_20190801_06,538,0,Normal
FOC_20190801_06,539,0,Normal
FOC_20190801_06,540,0,Normal
FOC_20190801_06,541,0,Normal
FOC_20190801_06,542,0,Normal
FOC_20190801_06,543,0,Normal
FOC_20190801_06,544,0,Normal
FOC_20190801_06,545,0,Normal
FOC_20190801_06,546,0,Normal
FOC_20190801_06,547,0,Normal
FOC_20190801_06,548,0,Normal
FOC_20190801_06,549,0,Normal
FOC_20190801_06,550,0,Normal
FOC_20190801_06,551,0,Normal
FOC_20190801_06,552,0,Normal
FOC_20190801_06,553,0,Normal
FOC_20190801_06,554,0,Normal
FOC_20190801_06,555,0,Normal
FOC_20190801_06,556,0,Normal
FOC_20190801_06,557,0,Normal
FOC_20190801_06,558,0,Normal
FOC_20190801_06,559,0,Normal
FOC_20190801_06,560,0,Normal
FOC_20190801_06,561,0,Normal
FOC_20190801_06,562,0,Normal
FOC_20190801_06,563,0,Normal
FOC_20190801_06,564,0,Normal
FOC_20190801_06,565,0,Normal
FOC_20190801_06,566,0,Normal
FOC_20190801_06,567,0,Normal
FOC_20190801_06,568,0,Normal
FOC_20190801_06,569,0,Normal
FOC_20190801_06,570,0,Normal
FOC_20190801_06,571,0,Normal
FOC_20190801_06,572,0,Normal
FOC_20190801_06,573,0,Normal
FOC_20190801_06,574,0,Normal
FOC_20190801_06,575,0,Normal
FOC_20190801_06,576,0,Normal
FOC_20190801_06,577,0,Normal
FOC_20190801_06,578,0,Normal
FOC_20190801_06,579,0,Normal
FOC_20190801_06,580,0,Normal
FOC_20190801_06,581,0,Normal
FOC_20190801_06,582,0,Normal
FOC_20190801_06,583,0,Normal
FOC_20190801_06,584,0,Normal
FOC_20190801_06,585,0,Normal
FOC_20190801_06,586,0,Normal
FOC_20190801_06,587,0,Normal
FOC_20190801_06,588,0,Normal
FOC_20190801_06,589,0,Normal
FOC_20190801_06,590,0,Normal
FOC_20190801_06,591,0,Normal
FOC_20190801_06,592,0,Normal
FOC_20190801_06,593,0,Normal
